title,year,actors,genres,network,episodes
My Father Is Strange,2017,"Kim Yeong-cheol,Kim Hae-sook,Ryu Soo-young,Lee Yu-ri,Lee Joon,Jung So-min,Min Jin-woong,Ryu Hwa-young,Ahn Hyo-seop","Family,Drama,Romance,Comedy,Soundtrack",KBS2,52
My Fair Lady,2009,"Yoon Eun-hye,Yoon Sang-hyun,Jung Il-woo,Moon Chae-won","Romance,Comedy",Korean Broadcasting System,16
My Fair Lady,2003,"Kim Hee-sun,Go Soo,Park Han-byul,Son Chang-min","Romance,Drama",Seoul Broadcasting System,16
My Dear Cat,2014,"Choi Yoon-young,Hyun Woo,Choi Min,Jun Hyo-seong","Romance,Comedy,Family",KBS1,119
My Dangerous Wife,2020,"Kim Jung-eun,Choi Won-young","Drama,Thriller,Mystery",MBN,16
My Cute Guys,2013,"Park Shin-hye,Yoon Shi-yoon,Kim Ji-hoon","Romance,Comedy",tvN,16
My Country: The New Age,2019,"Yang Se-jong,Woo Do-hwan,Kim Seol-hyun,Jang Hyuk","Historical,Romance,Melodrama,Soundtrack",JTBC,16
My Bittersweet Life,2011,"Jung Eun-chae,Jay Kim,Yoon A-jung,Choi Min-sung","Drama,Romance,Family",KBS1,125
My Beautiful Bride,2015,"Kim Mu-yeol,Lee Si-young,Ko Sung-hee,Ryu Seung-soo,Park Hae-joon","Action,Crime",OCN,16
My Catman,2017,"Im Si-wan,Chae Soo-bin,Kim Myung-soo",Romantic comedy,QQLive,10
My 19 Year Old Sister-in-Law,2004,"Jeong Da-bin,Yoon Kye-sang,Kim Jaewon,Kim Min-hee","Romance,Comedy,Drama",Seoul Broadcasting System,16
Ms. Perfect,2017,"Ko So-young,Yoon Sang-hyun,Cho Yeo-jeong,Sung Joon","Mystery,Comedy,Soundtrack",KBS2,20
Mr. Back,2014,"Shin Ha-kyun,Jang Na-ra,Lee Joon,Park Ye Jin","Romance,Comedy,Fantasy",Munhwa Broadcasting Corporation,16
Move to Heaven,2021,"Lee Je-hoon,Tang Jun-sang,Hong Seung-hee",Drama,Netflix,10
Mouse,2021,"Lee Seung-gi,Lee Hee-joon,Park Ju-hyun,Kyung Soo-jin","Crime thriller,Suspense,Mystery,Sci-Fi,Soundtrack",tvN,20
Mother's Garden,2014,"Jeong Yu-mi,Choi Tae-joon,Uhm Hyun-kyung,Go Se-won","Family drama,Romance,Melodrama",MBC,126
Mother,2018,"Lee Bo-young,Heo Yool,Lee Hye-young,Nam Ki-ae,Ko Sung-hee","Drama,Suspense",tvN,16
More Than Friends,2020,"Ong Seong-wu,Shin Ye-eun,Kim Dong-jun","Romantic drama,Soundtrack",JTBC,16
More Than a Maid,2015,"Jeong Yu-mi,Oh Ji-ho,Kim Dong-wook","Historical,Romance,Action",jTBC,20
Monthly Magazine Home,2021,"Jung So-min,Kim Ji-seok,Jung Gun-joo,Kim Won-hae","Drama,Romance,Soundtrack",,16
Monster,2016,"Kang Ji-hwan,Sung Yu-ri,Park Ki-woong,Claudia Kim","Revenge,Romance,Thriller",Munhwa Broadcasting Corporation,50
Monstar,2013,"Yong Jun-hyung,Ha Yeon-soo,Kang Ha-neul","Romance,Music,Teen Drama,Pop,K-pop,soundtrack",Mnet,12
Money Game,2020,"Go Soo,Lee Sung-min,Shim Eun-kyung","Drama,Finance",tvN,16
Mom's Dead Upset,2008,"Kim Hye-ja,Lee Soon-jae,Baek Il-seob,Shin Eun-kyung,Ryu Jin","Family,Comedy,Romance",KBS2,66
Mom Has an Affair,2020,"Hyun Jyu-ni,Lee Jae-hwang,Moon Bo-ryung,Kim Hyeong-beom","Romance,Drama,Family",SBS TV,122
Misty,2018,"Kim Nam-joo,Ji Jin-hee","Melodrama,Mystery,Thriller,Romance,Soundtrack",,16
Modern Farmer,2014,"Lee Hong-gi,Park Min-woo,Lee Si-eon,Kwak Dong-yeon,Lee Hanee","Romance,Comedy,Family",Seoul Broadcasting System,20
Model,1997,"Kim Nam-joo,Han Jae-suk,Jang Dong-gun,Yum Jung-ah,So Ji-sub","Romance,Drama",Seoul Broadcasting System,36
Mistress,2018,"Han Ga-in,Shin Hyun-been,Choi Hee-seo,Goo Jae-yee","Mystery,Thriller,Romance",OCN,12
Miss Ripley,2011,"Lee Da-hae,Park Yuchun,Kim Seung-woo,Kang Hye-jung","Romance,Melodrama",MBC,16
Miss Panda and Mr. Hedgehog,2012,"Lee Donghae,Yoon Seung-ah",Romantic comedy,,16
Miss Monte-Cristo,2021,"Lee So-yeon,Choi Yeo-jin,Kyung Sung-hwan,Lee Sang-bo","Melodrama,Revenge,Romance,Soundtrack",KBS2,100
Miss Mamma Mia,2015,"Kang Byul,Han Go-eun,Shim Hyung-tak,Seo Do-young","Melodrama,Romance",KBS Drama,12
Merry Mary,2007,"Lee Ha-na,Ji Hyun-woo,Lee Min-woo,Wang Bit-na","Romance,Comedy",Munhwa Broadcasting Corporation,16
Midas,2011,"Jang Hyuk,Lee Min-jung,Kim Hee-ae,No Min-woo","Romance,Business,Drama",SBS TV,21
Men Are Men,2020,"Hwang Jung-eum,Yoon Hyun-min,Seo Ji-hoon,Jo Woo-ri,Choi Myung-gil","Drama,Comedy,Romance,Fantasy",,32
Mimi,2014,"Shim Chang-min,Moon Ga-young","Romance,Mystery,Horror",Mnet,4
Memory,2016,"Lee Sung-min,Kim Ji-soo,Park Jin-hee",Drama,tvN,16
Memorials,2020,"Nana,Park Sung-hoon,Yoo Da-in,Han Joon-woo,Ahn Nae-sang","Comedy,Romance,Political,Soundtrack",,16
Memorist,2020,"Yoo Seung-ho,Lee Se-young,Jo Sung-ha","Crime,Mystery,Fantasy,Soundtrack",tvN,16
Melting Me Softly,2019,"Ji Chang-wook,Won Jin-ah,Yoon Se-ah","Fantasy,Romantic comedy,Soundtrack",tvN,16
Medical Top Team,2013,"Kwon Sang-woo,Jung Ryeo-won,Ju Ji-hoon,Oh Yeon-seo,Choi Min-ho","Medical drama,Romance",Munhwa Broadcasting Corporation,20
Meloholic,2017,"Jung Yun-ho,Kyung Soo-jin","Romance comedy,Fantasy,Mystery",OCN,10
"Me Too, Flower!",2011,"Lee Ji-ah,Yoon Shi-yoon","Romance,Comedy,Drama",Munhwa Broadcasting Corporation,15
May Queen,2012,"Han Ji-hye,Kim Jaewon,Jae Hee","Romance,Melodrama",MBC TV,38
May It Please the Court,2022,"Jung Ryeo-won,Lee Kyu-hyung,Jung Jin-young,Kim Hye-eun","Legal drama,Mystery",Disney+,12
Master's Sun,2013,"So Ji-sub,Gong Hyo-jin","Romantic comedy,Fantasy,Mystery,Pop,K-pop,soundtrack,R&B",SBS TV,17
Mask,2015,"Soo Ae,Ju Ji-hoon,Yeon Jung-hoon,Yoo In-young","Romance,Melodrama,Family",SBS TV,20
Master of Study,2010,"Kim Soo-ro,Bae Doona,Oh Yoon-ah,Yoo Seung-ho,Go Ah-sung,Lee Hyun-woo,Park Ji-yeon,Lee Chan-ho",Teen,Korean Broadcasting System,16
Marrying My Daughter Twice,2016,"Yang Jin-sung,Seo Ha-joon,Park Soon-chun,Jang Seung-jo","Family drama,Comedy,Romance,Melodrama",SBS,120
Marry Him If You Dare,2013,"Yoon Eun-hye,Lee Dong-gun,Jung Yong-hwa,Han Chae-ah,Choi Myung-gil","Romance,Drama,Time travel,Pop,K-pop,soundtrack",Korean Broadcasting System,16
Marriage Contract,2016,"Lee Seo-jin,Uee,Kim Yong-geon,Park Jung-soo,Lee Hwi-hyang,Kim Young-pil,Shin Rin-ah,Kim Kwang-kyu,Kim Yoo-ri",Melodrama,MBC TV,16
"Marry Me, Mary!",2010,"Moon Geun-young,Jang Keun-suk,Kim Jae-wook,Kim Hyo-jin","Romance,Comedy",Korean Broadcasting System,16
"Marriage, Not Dating",2014,"Yeon Woo-jin,Han Groo,Jeong Jin-woon,Han Sunhwa,Heo Jung-min,Yoon So-hee","Romance,Comedy,Drama",tvN,16
Manny,2011,"Seo Ji-seok,Choi Jung-yoon,Byun Jung-soo,Jung Da-bin,Goo Seung-hyun","Romance,Comedy",tvN,16
Manhole,2017,"Kim Jae-joong,Uee,Baro,Jung Hye-sung","Comedy,Romance,Soundtrack",KBS2,16
Man to Man,2017,"Park Hae-jin,Park Sung-woong,Kim Min-jung,Chae Jung-an,Yeon Jung-hoon","Action,Thriller,Melodrama,Comedy,Soundtrack",JTBC,16
Man from the Equator,2012,"Uhm Tae-woong,Lee Joon-hyuk,Lee Bo-young,Im Jung-eun","Revenge,Melodrama",KBS2,20
Make a Woman Cry,2015,"Kim Jung-eun,Song Chang-ui","Romance,Family,Drama",Munhwa Broadcasting Corporation,40
Mama,2014,"Song Yoon-ah,Hong Jong-hyun,Jung Joon-ho,Moon Jung-hee","Family drama,Melodrama,Romance",MBC TV,24
Magic Cellphone,2016,"Kim Jin-woo,Park Min-ji,Kwak In-joon","Web series,Romance,Fantasy",,10
Mackerel Run,2007,"Lee Min-ho,Moon Chae-won,Kwon Se-in,Jung Yoon-jo,Go Kyu-pil,Jang Tae-hoon","Comedy,Drama,High school",Seoul Broadcasting System,8
Ma Boy,2012,"Kim So-hyun,Kim Sun-woong","Romantic comedy,Teen drama",Tooniverse,3
Lucky Romance,2016,"Hwang Jung-eum,Ryu Jun-yeol,Lee Soo-hyuk,Lee Chung-ah","Romance,Comedy,Workplace,Soundtrack",MBC TV,16
Mad for Each Other,2021,"Jung Woo,Oh Yeon-seo","Comedy,Romance",KakaoTV,13
Lucifer,2007,"Uhm Tae-woong,Ju Ji-hoon,Shin Min-a","Drama,Mystery,Romance",KBS2,20
Mad Dog,2017,"Yoo Ji-tae,Woo Do-hwan,Ryu Hwa-young,Jo Jae-yoon,Kim Hye-sung,Hong Soo-hyun","Action,Soundtrack",KBS 2TV,16
Lovers of the Red Sky,2021,"Kim Yoo-jung,Ahn Hyo-seop,Gong Myung,Kwak Si-yang","Historical,Romance,Fantasy,Soundtrack",SBS TV,16
Lovers of Music,2014,"Jung Eun-ji,Ji Hyun-woo,Shin Sung-rok,Lee Se-young","Romance,Comedy,Drama,Pop,K-pop,soundtrack,trot",KBS2,16
Lovers of Haeundae,2012,"Kim Kang-woo,Cho Yeo-jeong,Jung Suk-won,Park Geon-il,Nam Gyu-ri","Romance,Comedy,Action",KBS2,16
Lovers in Prague,2005,"Jeon Do-yeon,Kim Joo-hyuk,Kim Min-jun,Yoon Se-ah","Drama,Romance",SBS,18
Lovers in Paris,2004,"Park Shin-yang,Kim Jung-eun,Lee Dong-gun","Romance,Drama",SBS,20
Lovers in Bloom,2017,"Im Soo-hyang,Do Ji-han,Lee Chang-wook,Lee Eun-hyung,Nam Bo-ra","Family,Melodrama",KBS1,120
Love Scene Number,2021,"Kim Bo-ra,Shim Eun-woo,Ryu Hwa-young,Park Jin-hee","Omnibus,Romance",Wavve,8
Love Revolution,2020,"Park Ji-hoon,Lee Ruby,Kim Young-hoon,Jung Da-eun,Im Da-young,Ko Chan-bin,Ahn Do-gyu","Romantic comedy,Teen drama,Soundtrack",KakaoTV,30
Love Rain,2012,"Im Yoon-ah,Jang Keun-suk","Romance,Melodrama",Korean Broadcasting System,20
Love on a Rooftop,2015,"Im Se-mi,Park Jin-woo,Kim Se-jung","Romance,Drama,Family",KBS2,101
Love Letter,2003,"Jo Hyun-jae,Soo Ae,Ji Jin-hee","Melodrama,Romance",Munhwa Broadcasting Corporation,16
Love in Her Bag,2013,"Choi Jung-won,Kim Jeong-hoon,Son Eun-seo,Park Yoon-jae","Romance,Drama",JTBC,20
Love in 3 Colors,1999,"Choi Ji-woo,Ryu Jin,Lee Hwi-hyang,Park Jin-hee","Romance,Drama",Korean Broadcasting System,56
Love for a Thousand More,2016,"Kang Seung-yoon,Hwang Seung-eon","Web series,Romance,Fantasy,Soundtrack",Naver TV Cast,10
Love All Play,2022,"Park Ju-hyun,Chae Jong-hyeop,Park Ji-hyun,Kim Mu-jun,Seo Ji-hye","Drama,Romance,Sports drama",KBS2,16
Love Alert,2018,"Yoon Eun-hye,Chun Jung-myung","Romantic comedy,K-pop",MBN,16
Love Again,2012,"Kim Ji-soo,Ryu Jung-han,Choi Cheol-ho,Lee Ah-hyun","Drama,Romance",JTBC,16
Loss Time Life,2019,"Song Yuvin,Kwon Mina","Melodrama,Fantasy",MBN,2
Look Back in Anger,2000,"Joo Jin-mo,Park Jin-hee,Lee Min-woo","Action,Drama",Korean Broadcasting System,18
Local Hero,2016,"Park Si-hoo,Jo Sung-ha,Lee Soo-hyuk,Kwon Yu-ri,Jung Man-sik,Yoon Tae-young","Action,Thriller,Mystery,Crime",OCN,16
Listen to My Heart,2011,"Kim Jaewon,Hwang Jung-eum,Namkoong Min","Romance,Melodrama,Pop,K-pop,soundtrack,R&B",MBC TV,30
Line Romance,2014,"Lee Min-ho,Kuo Bea-ting",Miniseries,iQiyi,3
Life Is Beautiful,2010,"Song Chang-eui,Lee Sang-woo,Lee Sang-yoon,Nam Sang-mi","Romance,Drama,Family",SBS TV,63
Life,2018,"Lee Dong-wook,Cho Seung-woo,Won Jin-ah","Medical drama,Soundtrack",JTBC,16
Lie to Me,2011,"Kang Ji-hwan,Yoon Eun-hye,Sung Joon,Jo Yoon-hee","Romance,Comedy,Drama",SBS,16
Lie After Lie,2020,"Lee Yu-ri,Yeon Jung-hoon","Drama,Mystery,Romance",Channel A,16
Life on Mars,2018,"Jung Kyung-ho,Park Sung-woong,Go Ah-sung,Oh Dae-hwan,Noh Jong-hyun","Police procedural,Crime,Science fiction,Soundtrack",OCN,16
Liar Game,2014,"Kim So-eun,Lee Sang-yoon,Shin Sung-rok","Mystery,Thriller",tvN,12
Level Up,2019,"Sung Hoon,Han Bo-reum,Baro,Kang Byul,Danny Ahn",Romantic comedy,,12
Let's Eat 3,2018,"Yoon Doo-joon,Baek Jin-hee","Slice-of-life,Romance,Soundtrack",tvN,14
Let's Eat 2,2015,"Yoon Doo-joon,Seo Hyun-jin,Kwon Yul","Romance,Comedy",tvN,18
Leverage,2019,"Lee Dong-gun,Jeon Hye-bin,Kim Sae-ron,Kim Kwon,Yeo Hoe-hyun","Crime,Drama",TV Chosun,16
Lawyers,2005,"Jung Hye-young,Kim Sang-kyung,Kim Sung-soo,Han Go-eun","Romance,Thriller",Munhwa Broadcasting Corporation,16
Late Night Restaurant,2015,Kim Seung-woo,"Mystery,Slice of life,Food",Seoul Broadcasting System,20
Lawless Lawyer,2018,"Lee Joon-gi,Seo Yea-ji,Lee Hye-young,Choi Min-soo","Legal,Thriller,Soundtrack",tvN,16
Law School,2021,"Kim Myung-min,Kim Bum,Ryu Hye-young,Lee Jung-eun","Legal drama,Soundtrack",JTBC,16
Last Scandal,2008,"Choi Jin-sil,Jung Joon-ho","Romance,Comedy,Drama",MBC TV,16
"Kim Su-ro, The Iron King",2010,"Ji Sung,Bae Jong-ok,Yu Oh-seong,Seo Ji-hye,Go Joo-won,Kang Byul,Lee Pil-mo",Period drama,Munhwa Broadcasting Corporation,32
King of Ambition,2013,"Kwon Sang-woo,Soo Ae,Jung Yun-ho,Kim Sung-ryung,Go Joon-hee","Melodrama,Romance,Action",SBS TV,24
Kill It,2019,"Jang Ki-yong,Nana","Thriller,Soundtrack",OCN,12
Through the Waves,2018,"Ah Young,Park Jung-wook,Jay Kim,Jang Jae-ho,Seo Ha,Noh Haeng-ha,Kim Jung-heon,Jung Yoon-hye","Period drama,Romance,Family,Soundtrack",KBS2,143
"Kill Me, Heal Me",2015,"Ji Sung,Hwang Jung-eum,Park Seo-joon,Oh Min-suk,Kim Yoo-ri","Romantic comedy,Suspense,Medical drama,Pop,K-pop,soundtrack,R&B",MBC TV,20
Kill Heel,2022,"Kim Ha-neul,Lee Hye-young,Kim Sung-ryung","Drama,Thriller,Soundtrack",tvN,14
Samsaengi,2013,"Hong Ah-reum,Son Sung-yoon,Cha Do-jin,Ji Il-joo","Period drama,Romance,Medical drama",Korean Broadcasting System,120
My Mind's Flower Rain,2016,"Na Hae-ryung,Lee Chang-wook,Jung Yi-yeon,Ji Eun-sung","Period drama,Romance,Family,Melodrama,Revenge",KBS2,128
Land of Gold,2014,"Kang Ye-sol,Kang Eun-tak,Baek Seung-hee,Lee Byung-hoon","Romance,Family",KBS2,163
In Still Green Days,2015,"Song Ha-yoon,Lee Hae-woo,ko,Jung Yi-yeon,ko,Kim Min-soo","Period drama,Romance,Family",KBS2,129
A Sea of Her Own,2017,"Oh Seung-ah,Kim Joo-yong,Han Yoo-yi,Choi Sung-jae","Period drama,Family",KBS,120
Kairos,2020,"Shin Sung-rok,Lee Se-young,Ahn Bo-hyun,Nam Gyu-ri,Kang Seung-yoon","Fantasy,Thriller,Soundtrack",MBC TV,16
Juvenile Justice,2022,"Kim Hye-soo,Kim Mu-yeol,Lee Sung-min,Lee Jung-eun",Legal drama,Netflix,10
Jungle Fish 2,2010,"Hong Jong-hyun,Park Ji-yeon","Teen drama,Ballad, Rock/Metal,Dance, Folk/Blues",KBS2,8
Jungle Fish,2008,"Kim Soo-hyun,Park Bo-young",Teen drama,KBS2,1
Hello Dracula,2020,"Seohyun,Lee Ji-hyun,Lee Joo-bin,Go Na-hee,Seo Eun-yool","Drama,Soundtrack",JTBC,2
Joseon X-Files,2010,"Kim Ji-hoon,Im Jung-eun,Kim Kap-soo,Jo Hee-bong","Period drama,Mystery,Science fiction,Drama",tvN,12
Joseon Survival Period,2019,"Kang Ji-hwan,(,1–10,Seo Ji-seok,(,11–16,Kyung Soo-jin,Song Won-seok,Park Se-wan,Lee Jae-yoon,Han Jae-suk,Yoon Ji-min","Historical,Fantasy,Soundtrack",TV Chosun,16
Jirisan,2021,"Jun Ji-hyun,Ju Ji-hoon","Mystery,Fantasy,Thriller,Drama,Soundtrack",tvN,16
Jikji,2005,"Han Min,Kim Jin-keun",Historical,MBC,1
Ji Woon-soo's Stroke of Luck,2012,"Im Chang-jung,Seo Young-hee",Comedy,TV Chosun,20
Jeong Do-jeon,2014,"Cho Jae-hyun,Yoo Dong-geun,Seo In-seok,Park Yeong-gyu,Im Ho,Ahn Jae-mo","Period drama,Political",KBS1,50
Jejungwon,2010,"Park Yong-woo,Han Hye-jin,Yeon Jung-hoon","Medical drama,Period drama",Seoul Broadcasting System,36
Jealousy,1992,"Choi Soo-jong,Choi Jin-sil,Lee Eung-kyung","Romance, Comedy",MBC TV,16
Jang Yeong-sil,2016,"Song Il-kook,Kim Yeong-cheol,Kim Sang-kyung,Park Sun-young","Historical period drama,Science fiction,Pop,K-pop,Soundtrack",KBS1,24
"Jang Ok-jung, Living by Love",2013,"Kim Tae-hee,Yoo Ah-in,Hong Soo-hyun,Jae Hee","Historical,Romance",SBS TV,24
Jang Bo-ri Is Here!,2014,"Oh Yeon-seo,Kim Ji-hoon,Lee Yu-ri,Oh Chang-seok","Romance,Family,Comedy,Drama",MBC,52
Ja Myung Go,2009,"Jung Ryeo-won,Jung Kyung-ho,Park Min-young","Historical,Romance",SBS TV,39
"It's Okay, That's Love",2014,"Zo In-sung,Gong Hyo-jin,Sung Dong-il,Lee Kwang-soo,Do Kyung-soo","Romance,Melodrama,Medical",SBS TV,16
It's Beautiful Now,2022,"Yoon Shi-yoon,Bae Da-bin,Oh Min-suk,Shin Dong-mi,Seo Bum-june,Choi Ye-bin","Family drama,Melodrama,Soundtrack",KBS2,50
It's Okay to Not Be Okay,2020,"Kim Soo-hyun,Seo Yea-ji,Oh Jung-se,Park Gyu-young",Romantic comedy,tvN,16
Iris II: New Generation,2013,"Jang Hyuk,Lee Da-hae,Lee Beom-soo,Im Soo-hyang,Yoon Doo-joon,Lee Joon,Kim Yeong-cheol","Action,Romance,Thriller,Pop,K-pop,soundtrack",Korean Broadcasting System,20
Ireland,2004,"Lee Na-young,Kim Min-jun,Kim Min-jung,Hyun Bin","Romance,Drama",Munhwa Broadcasting Corporation,16
Invincible Lee Pyung Kang,2009,"Nam Sang-mi,Ji Hyun-woo,Seo Do-young,Cha Ye-ryun",Romantic comedy,Korean Broadcasting System,16
Itaewon Class,2020,"Park Seo-joon,Kim Da-mi,Yoo Jae-myung,Kwon Nara","Drama,Soundtrack",JTBC,16
Iris,2009,"Lee Byung-hun,Kim Tae-hee,Jung Joon-ho,Kim Seung-woo,Kim So-yeon,Choi Seung-hyun","Action,Espionage,Romance,Thriller,Soundtrack",KBS2,20
Introverted Boss,2017,"Yeon Woo-jin,Park Hye-su,Gong Seung-yeon,Yoon Park","Romance,Comedy",tvN,16
Innocent Defendant,2017,"Ji Sung,Um Ki-joon,Kwon Yu-ri,Oh Chang-seok,Uhm Hyun-kyung","Legal drama,Thriller,Soundtrack",SBS TV,18
Into the Flames,2014,"Choi Soo-jong,Ryu Jin,Son Tae-young,Lee In-hye",Period drama,TV Chosun,20
Inspiring Generation,2014,"Kim Hyun-joong,Im Soo-hyang,Jin Se-yeon","Period drama,Action,Drama,Romance,Soundtrack",KBS2,24
Incarnation of Money,2013,"Kang Ji-hwan,Park Sang-min,Hwang Jung-eum,Oh Yoon-ah,Choi Yeo-jin,Kim Soo-mi","Dramedy,Crime",SBS TV,24
Imitation,2021,"Jung Ji-so,Lee Jun-young,Jeong Yun-ho,Park Ji-yeon","Drama,Soundtrack,K-pop",KBS2,12
In-soon Is Pretty,2007,"Kim Hyun-joo,Kim Min-jun,Lee Wan",Drama,KBS2,16
Iljimae,2008,"Lee Joon-gi,Park Si-hoo,Han Hyo-joo,Lee Young-ah","Historical,Action,Romance",SBS TV,20
Iljimae,1993,"Jang Dong-gun,Yum Jung-ah",Historical,MBC,8
Ice Adonis,2012,"Lee Yu-ri,Hyun Woo-sung,Yoon A-jung,Jung Chan","Revenge,Melodrama",tvN,108
"I'm Sorry, I Love You",2004,"So Ji-sub,Im Soo-jung","Melodrama,Romance,Soundtracks",KBS2,16
I Need Romance,2011,"Cho Yeo-jeong,Kim Jeong-hoon,Choi Yeo-jin,Choi Song-hyun,Choi Jin-hyuk","Romance,Comedy,Drama",tvN,16
I Love Lee Taly,2012,"Park Ye-jin,Kim Ki-bum","Romance,Comedy,Pop,K-pop,soundtrack,R&B,teen pop",tvN,16
I Am Legend,2010,"Kim Jung-eun,Lee Joon-hyuk,Kim Seung-soo","Romance,Music,Legal drama",Seoul Broadcasting System,16
"I Do, I Do",2012,"Kim Sun-a,Lee Jang-woo,Park Gun-hyung,Im Soo-hyang","Romance,Comedy,Drama",MBC TV,16
"Hyde Jekyll, Me",2015,"Hyun Bin,Han Ji-min,Sung Joon,Lee Hye-ri","Romance,Comedy,Drama,Soundtrack",Seoul Broadcasting System,20
I Can Hear Your Voice,2013,"Lee Bo-young,Lee Jong-suk,Yoon Sang-hyun,Lee Da-hee","Legal drama,Romance,Fantasy,Comedy,Soundtrack",SBS TV,18
I Am Sam,2007,"Yang Dong-geun,Park Min-young,Park Jun-gyu,Son Tae-young,Choi Seung-hyun","Romance,Comedy",KBS2,16
Hyena,2020,"Kim Hye-soo,Ju Ji-hoon","Legal,Soundtrack,Pop",SBS TV,16
Hwang Jini,2006,"Ha Ji-won,Kim Young-ae,Wang Bit-na,Kim Jaewon,Ryu Tae-joon,Jang Keun-suk","Historical,Drama,Romance",KBS2,24
How Should I Be,2002,"Kim Suk-hoon,Yoo Jun-sang,Kim Ji 
-ho,Kim Sa-rang",Drama,SBS,24
How to Meet a Perfect Neighbor,2007,"Kim Seung-woo,Bae Doona,Park Si-hoo,Wang Ji-hye","Romance,Comedy,Drama",Seoul Broadcasting System,20
How to Be Thirty,2021,"Jung In-sun,Kang Min-hyuk,Ahn Hee-yeon,Song Jae-rim,Cha Min-ji,Baek Sung-chul,Kim Ji-sung",Romantic comedy,KakaoTV,15
"Hur Jun, The Original Story",2013,"Kim Joo-hyuk,Park Jin-hee,Park Eun-bin,Namkoong Min,Baek Yoon-sik","Historical drama,Medical drama,Romance",MBC TV,135
How Long I've Kissed,2012,"Kim Hee-ae,Lee Sung-jae,Lee Tae-ran,Jang Hyun-sung","Drama,Romance",JTBC,16
How Are U Bread,2020,"Kim Jun-myeon,Lee Se-young","Romance,Fantasy",,5
House of Bluebird,2015,"Lee Joon-hyuk,Chae Soo-bin,Lee Sang-yeob,Kyung Soo-jin","Domestic,Romance,Comedy,Drama",Korean Broadcasting System,50
Hotelier,2001,"Bae Yong-joon,Song Yoon-ah,Kim Seung-woo,Song Hye-kyo","Drama,Romance",Munhwa Broadcasting Corporation,20
Hotel King,2014,"Lee Dong-wook,Lee Da-hae","Melodrama,Revenge,Romance,Pop,K-pop,soundtrack,R&B",Munhwa Broadcasting Corporation,32
Hotel del Luna,2019,"Lee Ji-eun,Yeo Jin-goo","Dark fantasy,Romantic comedy,Soundtrack",tvN,16
Hospital Ship,2017,"Ha Ji-won,Kang Min-hyuk,Lee Seo-won","Medical,Romance,Soundtrack",MBC TV,40
Hot Blood,2009,"Park Hae-jin,Chae Jung-an,Choi Cheol-ho,Jo Yoon-hee",Drama,KBS2,20
Hong Kong Express,2005,"Cho Jae-hyun,Song Yoon-ah,Cha In-pyo","Drama, Romance",Seoul Broadcasting System,16
Hong Gil-dong,2008,"Kang Ji-hwan,Sung Yu-ri,Jang Keun-suk,Kim Ri-na","Historical,Comedy,Romance,Action",KBS2,24
Home Sweet Home,2010,"Kim Hye-soo,Hwang Shin-hye","Mystery,Melodrama",Munhwa Broadcasting Corporation,16
History of a Salaryman,2012,"Lee Beom-soo,Jung Ryeo-won,Jung Gyu-woon,Hong Soo-hyun","Comedy,Thriller,Romance",SBS TV,22
High Society,2015,"Uee,Sung Joon,Park Hyung-sik,Lim Ji-yeon","Romance,Melodrama",Seoul Broadcasting System,16
Hogu's Love,2015,"Choi Woo-shik,Uee,Lim Seul-ong,Lee Soo-kyung","Romance,Comedy,Melodrama",tvN,16
Hit the Top,2017,"Yoon Shi-yoon,Lee Se-young,Kim Min-jae,Cha Tae-hyun","Slice-of-life,Comedy,Drama,Youth,Romance,Soundtrack",KBS2,32
High Class,2021,"Cho Yeo-jeong,Kim Ji-soo,Kim Young-jae","Mystery,Suspense,Drama,Soundtrack",tvN,16
Hierarchy,2024,"Roh Jeong-eui,Lee Chae-min,Kim Jae-won,Ji Hye-won,Lee Won-jung","Teen drama,Romance,Mystery",Netflix,7
Hidden Identity,2015,"Kim Bum,Park Sung-woong,Yoon So-yi,Lee Won-jong","Police procedural,Action,Thriller",tvN,16
Hi! School: Love On,2014,"Kim Sae-ron,Nam Woo-hyun,Lee Sung-yeol","Romance,School,Supernatural,Teen,Comedy,Pop,K-pop,soundtrack",Korean Broadcasting System,20
"Hi Bye, Mama!",2020,"Kim Tae-hee,Lee Kyu-hyung,Go Bo-gyeol","Tragicomedy,Fantasy,Soundtrack",tvN,16
Hello! Miss,2007,"Lee Da-hae,Lee Ji-hoon,Ha Seok-jin,Yeon Mi-joo","Romance,Comedy,Drama",Korean Broadcasting System,16
Hello Monster,2015,"Seo In-guk,Jang Na-ra,Choi Won-young,Park Bo-gum","Thriller,Mystery,Police procedural",KBS2,16
Hell Is Other People,2019,"Im Si-wan,Lee Dong-wook","Psychological thriller,Soundtrack",,10
Heaven & Earth,2007,"Park Hae-jin,Han Hyo-joo,Kang Jung-hwa,Lee Joo-hyun,Hong Soo-ah","Romance,Drama,Family",KBS1,165
Heartless City,2013,"Jung Kyung-ho,Lee Jae-yoon,Nam Gyu-ri","Noir,/,Crime,Action,Romance",JTBC,20
Heart to Heart,2015,"Choi Kang-hee,Chun Jung-myung,Lee Jae-yoon","Romance,Comedy,Medical drama",tvN,16
Happy Home,2016,"Kim Yeong-cheol,Won Mi-kyung,Kim So-yeon,Lee Sang-woo,Lee Pil-mo","Family,Romantic drama",MBC,51
Happy Ending,2012,"Choi Min-soo,Shim Hye-jin,Lee Seung-yeon",Drama,JTBC,24
Happiness in the Wind,2010,"Kim So-eun,Jin Yi-han","Romance,Family,Drama,Comedy",KBS1,173
